name,handle,platform,cross_platform,followers,avg_views,engagement_rate,geo_us_pct,brand_deals_count,audience_18_24_pct,age_evidence,geo_evidence,niche_relevance_pct,content_format,comment_quality,has_media_kit,last_post_days,current_sponsors,notes,source
Riley Brown,rileybrown.ai,"TikTok, YouTube",Instagram,620000,180000,6.2,68,6,35,weak,hard,85,screen-record,substantive,true,2,,"AI build-along content; audience skews builder/professional rather than student",manual
Parker Prompts,parkerprompts,"TikTok, Instagram",YouTube,310000,95000,7.4,61,4,42,moderate,soft,78,talking-head,substantive,true,3,"Notion, Canva","Prompt-engineering explainers; strong AI-tool niche fit",manual
askcatgpt,askcatgpt,"TikTok, Instagram",,180000,62000,8.6,57,2,55,strong,hard,70,talking-head,substantive,true,1,,"AI explainers with a visibly college-age audience; rare dual fit",manual
Harper Carroll,harpercarrollai,"YouTube, Instagram",TikTok,420000,88000,3.1,64,5,38,strong,hard,80,explainer,substantive,true,4,,"ML engineer; explains AI tooling to a student and early-career audience",manual
Mia Yilin,mia_yilin,"Instagram, TikTok",YouTube,881000,240000,4.9,44,8,48,moderate,soft,15,vlog,substantive,true,2,,"Aspirational 881K exception; pure Awareness play pending budget confirmation",manual
soojintech,soojintech,"TikTok, YouTube",Instagram,145000,51000,6.8,66,3,61,strong,hard,45,talking-head,substantive,false,1,,"Student tech and study-setup content; adjacent to AI tooling",manual
Andrew Kim,andrewkim,"YouTube, Instagram",,730000,210000,2.4,59,7,29,moderate,hard,72,review,substantive,true,5,,"Deep tech reviews; audience skews 25-34 so student skew is not present",manual
Joshua La Rosa,joshualarosa,"TikTok, Instagram",,96000,34000,9.1,72,1,68,strong,hard,30,vlog,substantive,false,2,,"College-life and study-routine content; very high engagement",manual
Robo Nuggets,robonuggets,"YouTube, TikTok",Instagram,265000,,3.3,52,4,33,moderate,soft,82,screen-record,substantive,true,6,,"No-code and AI automation reviews; view data not yet pulled",manual
Mikey No Code,mikeynocode,"TikTok, YouTube",,128000,41000,3.2,48,2,24,weak,soft,88,screen-record,generic,false,3,,"Strong no-code niche fit but engagement sits under the TikTok floor",manual
